GEO_ID,NAME,TOTALPOPULATION,PROPORTION 5 TO 9 MINUTES,PROPORTION 5 TO 9
Geography,Geographic Area Name,TOTAL,TOTAL,RATIO
13001,"Appling County, Georgia",7507,787,0.104835487
13003,"Atkinson County, Georgia",2668,453,0.169790105
13005,"Bacon County, Georgia",3789,549,0.144893112
13007,"Baker County, Georgia",-1,136,-136
13009,"Baldwin County, Georgia",14857,"2,369",0.159453456
13011,"Banks County, Georgia",4117,415,0.100801555
13013,"Barrow County, Georgia",21410,"2,149",0.100373657
13015,"Bartow County, Georgia",40014,"4,416",0.110361374
13017,"Ben Hill County, Georgia",7321,"1,490",0.203524109
13019,"Berrien County, Georgia",4710,758,0.160934183
13021,"Bibb County, Georgia",79101,"6,562",0.082957232
13023,"Bleckley County, Georgia",2515,663,0.26361829
13025,"Brantley County, Georgia",2040,196,0.096078431
13027,"Brooks County, Georgia",2999,853,0.284428143
13029,"Bryan County, Georgia",8073,"1,180",0.146166233
13031,"Bulloch County, Georgia",29586,"4,858",0.164199283
13033,"Burke County, Georgia",11822,"1,129",0.095499915
13035,"Butts County, Georgia",6947,613,0.088239528
13037,"Calhoun County, Georgia",1502,303,0.201731025
13039,"Camden County, Georgia",20992,"3,254",0.155011433
13043,"Candler County, Georgia",3266,735,0.225045928
13045,"Carroll County, Georgia",43714,"5,171",0.118291623
13047,"Catoosa County, Georgia",16642,"2,008",0.120658575
13049,"Charlton County, Georgia",2747,443,0.161266837
13051,"Chatham County, Georgia",165745,"12,042",0.072653775
13053,"Chattahoochee County, Georgia",13342,"1,598",0.119772148
13055,"Chattooga County, Georgia",6620,922,0.139274924
13057,"Cherokee County, Georgia",66510,"5,212",0.078364156
13059,"Clarke County, Georgia",73008,"7,745",0.106084265
13061,"Clay County, Georgia",679,100,0.147275405
13063,"Clayton County, Georgia",111572,"5,314",0.047628437
13065,"Clinch County, Georgia",2287,465,0.203323131
13067,"Cobb County, Georgia",332958,"18,056",0.054229062
13069,"Coffee County, Georgia",18253,"2,774",0.151975018
13071,"Colquitt County, Georgia",16029,"2,113",0.13182357
13073,"Columbia County, Georgia",39210,"3,096",0.078959449
13075,"Cook County, Georgia",5861,686,0.117044873
13077,"Coweta County, Georgia",43204,"4,642",0.107443755
13079,"Crawford County, Georgia",2130,338,0.158685446
13081,"Crisp County, Georgia",8788,"1,206",0.13723259
13083,"Dade County, Georgia",4530,832,0.183664459
13085,"Dawson County, Georgia",9643,"1,335",0.138442393
13087,"Decatur County, Georgia",9219,"1,279",0.138735221
13089,"DeKalb County, Georgia",308180,"13,287",0.043114414
13091,"Dodge County, Georgia",5733,974,0.169893598
13093,"Dooly County, Georgia",4604,809,0.175716768
13095,"Dougherty County, Georgia",46150,"4,068",0.088147346
13097,"Douglas County, Georgia",44539,"3,700",0.083073262
13099,"Early County, Georgia",3349,412,0.123021798
13101,"Echols County, Georgia",666,283,0.424924925
13103,"Effingham County, Georgia",12602,"1,735",0.137676559
13105,"Elbert County, Georgia",6194,"1,237",0.199709396
13107,"Emanuel County, Georgia",6808,"1,232",0.180963572
13109,"Evans County, Georgia",4459,634,0.142184346
